id,question,choiceA,choiceB,choiceC,choiceD,correctAnswer,explanation,part,type,topic,difficulty,context,transcript
"local-p5-001","The sales team submitted _____ quarterly report before the deadline.","it","its","itself","their","B","A possessive adjective is required before the singular noun phrase “quarterly report”. | Cần tính từ sở hữu “its” đứng trước cụm danh từ “quarterly report”.","5","mcq","nouns","500","",""
"local-p5-002","The finance department submitted _____ quarterly report before the deadline.","it","its","itself","their","B","A possessive adjective is required before the singular noun phrase “quarterly report”. | Cần tính từ sở hữu “its” đứng trước cụm danh từ “quarterly report”.","5","mcq","nouns","500","",""
"local-p5-003","The marketing unit submitted _____ quarterly report before the deadline.","it","its","itself","their","B","A possessive adjective is required before the singular noun phrase “quarterly report”. | Cần tính từ sở hữu “its” đứng trước cụm danh từ “quarterly report”.","5","mcq","nouns","500","",""
"local-p5-004","The operations group submitted _____ quarterly report before the deadline.","it","its","itself","their","B","A possessive adjective is required before the singular noun phrase “quarterly report”. | Cần tính từ sở hữu “its” đứng trước cụm danh từ “quarterly report”.","5","mcq","nouns","500","",""
"local-p5-005","The customer service team submitted _____ quarterly report before the deadline.","it","its","itself","their","B","A possessive adjective is required before the singular noun phrase “quarterly report”. | Cần tính từ sở hữu “its” đứng trước cụm danh từ “quarterly report”.","5","mcq","nouns","500","",""
"local-p5-006","The research division submitted _____ quarterly report before the deadline.","it","its","itself","their","B","A possessive adjective is required before the singular noun phrase “quarterly report”. | Cần tính từ sở hữu “its” đứng trước cụm danh từ “quarterly report”.","5","mcq","nouns","500","",""
"local-p5-007","The human resources office submitted _____ quarterly report before the deadline.","it","its","itself","their","B","A possessive adjective is required before the singular noun phrase “quarterly report”. | Cần tính từ sở hữu “its” đứng trước cụm danh từ “quarterly report”.","5","mcq","nouns","500","",""
"local-p5-008","The shipping department submitted _____ quarterly report before the deadline.","it","its","itself","their","B","A possessive adjective is required before the singular noun phrase “quarterly report”. | Cần tính từ sở hữu “its” đứng trước cụm danh từ “quarterly report”.","5","mcq","nouns","500","",""
"local-p5-009","The technology team submitted _____ quarterly report before the deadline.","it","its","itself","their","B","A possessive adjective is required before the singular noun phrase “quarterly report”. | Cần tính từ sở hữu “its” đứng trước cụm danh từ “quarterly report”.","5","mcq","nouns","500","",""
"local-p5-010","The training unit submitted _____ quarterly report before the deadline.","it","its","itself","their","B","A possessive adjective is required before the singular noun phrase “quarterly report”. | Cần tính từ sở hữu “its” đứng trước cụm danh từ “quarterly report”.","5","mcq","nouns","500","",""
"local-p5-011","Northstar responded _____ to the customer complaint.","prompt","promptly","promptness","prompting","B","An adverb is needed to modify the verb “responded”. | Cần trạng từ “promptly” để bổ nghĩa cho động từ “responded”.","5","mcq","adverbs","500","",""
"local-p5-012","BluePeak responded _____ to the customer complaint.","prompt","promptly","promptness","prompting","B","An adverb is needed to modify the verb “responded”. | Cần trạng từ “promptly” để bổ nghĩa cho động từ “responded”.","5","mcq","adverbs","500","",""
"local-p5-013","Greenfield responded _____ to the customer complaint.","prompt","promptly","promptness","prompting","B","An adverb is needed to modify the verb “responded”. | Cần trạng từ “promptly” để bổ nghĩa cho động từ “responded”.","5","mcq","adverbs","500","",""
"local-p5-014","Summit responded _____ to the customer complaint.","prompt","promptly","promptness","prompting","B","An adverb is needed to modify the verb “responded”. | Cần trạng từ “promptly” để bổ nghĩa cho động từ “responded”.","5","mcq","adverbs","500","",""
"local-p5-015","Riverside responded _____ to the customer complaint.","prompt","promptly","promptness","prompting","B","An adverb is needed to modify the verb “responded”. | Cần trạng từ “promptly” để bổ nghĩa cho động từ “responded”.","5","mcq","adverbs","500","",""
"local-p5-016","BrightPath responded _____ to the customer complaint.","prompt","promptly","promptness","prompting","B","An adverb is needed to modify the verb “responded”. | Cần trạng từ “promptly” để bổ nghĩa cho động từ “responded”.","5","mcq","adverbs","500","",""
"local-p5-017","Harborview responded _____ to the customer complaint.","prompt","promptly","promptness","prompting","B","An adverb is needed to modify the verb “responded”. | Cần trạng từ “promptly” để bổ nghĩa cho động từ “responded”.","5","mcq","adverbs","500","",""
"local-p5-018","Silverline responded _____ to the customer complaint.","prompt","promptly","promptness","prompting","B","An adverb is needed to modify the verb “responded”. | Cần trạng từ “promptly” để bổ nghĩa cho động từ “responded”.","5","mcq","adverbs","500","",""
"local-p5-019","Oakridge responded _____ to the customer complaint.","prompt","promptly","promptness","prompting","B","An adverb is needed to modify the verb “responded”. | Cần trạng từ “promptly” để bổ nghĩa cho động từ “responded”.","5","mcq","adverbs","500","",""
"local-p5-020","MetroWorks responded _____ to the customer complaint.","prompt","promptly","promptness","prompting","B","An adverb is needed to modify the verb “responded”. | Cần trạng từ “promptly” để bổ nghĩa cho động từ “responded”.","5","mcq","adverbs","500","",""
"local-p5-021","The updated schedule _____ to the sales team yesterday.","sent","was sent","is sending","has send","B","The schedule received the action in the past, so the simple past passive is required. | Lịch trình nhận hành động trong quá khứ nên dùng bị động quá khứ đơn “was sent”.","5","mcq","passive-voice","600","",""
"local-p5-022","The updated schedule _____ to the finance department yesterday.","sent","was sent","is sending","has send","B","The schedule received the action in the past, so the simple past passive is required. | Lịch trình nhận hành động trong quá khứ nên dùng bị động quá khứ đơn “was sent”.","5","mcq","passive-voice","600","",""
"local-p5-023","The updated schedule _____ to the marketing unit yesterday.","sent","was sent","is sending","has send","B","The schedule received the action in the past, so the simple past passive is required. | Lịch trình nhận hành động trong quá khứ nên dùng bị động quá khứ đơn “was sent”.","5","mcq","passive-voice","600","",""
"local-p5-024","The updated schedule _____ to the operations group yesterday.","sent","was sent","is sending","has send","B","The schedule received the action in the past, so the simple past passive is required. | Lịch trình nhận hành động trong quá khứ nên dùng bị động quá khứ đơn “was sent”.","5","mcq","passive-voice","600","",""
"local-p5-025","The updated schedule _____ to the customer service team yesterday.","sent","was sent","is sending","has send","B","The schedule received the action in the past, so the simple past passive is required. | Lịch trình nhận hành động trong quá khứ nên dùng bị động quá khứ đơn “was sent”.","5","mcq","passive-voice","600","",""
