word,pronunciation,partOfSpeech,definition,definitionNative,example,exampleTranslation,topic,difficulty,synonyms
"Collaborate","/kəˈlæbəreɪt/","verb","To work jointly with others or together, especially in an intellectual endeavor.","Hợp tác, cộng tác","Researchers from several top universities decided to collaborate on the project.","Các nhà nghiên cứu từ một số trường đại học hàng đầu đã quyết định hợp tác trong dự án.","business","700","cooperate,team up,conspire"
"Negotiate","/nɪˈɡəʊʃɪeɪt/","verb","To try to reach an agreement or compromise by discussion with others.","Thương lượng, đàm phán","Our sales representative managed to negotiate a highly favorable supply contract.","Đại diện bán hàng của chúng tôi đã xoay sở để đàm phán được một hợp đồng cung cấp rất có lợi.","business","700","bargain,mediate,discuss,settle"
"Acquire","/əˈkwaɪə(r)/","verb","To buy or obtain an asset or object, or to learn a new skill.","Mua lại, đạt được, thâu tóm","The tech giant plans to acquire a promising artificial intelligence startup.","Gã khổng lồ công nghệ có kế hoạch mua lại một công ty khởi nghiệp trí tuệ nhân tạo đầy hứa hẹn.","business","800","obtain,purchase,gain,procure"
"Terminate","/ˈtɜːmɪneɪt/","verb","To bring to an end; close or conclude.","Chấm dứt, hủy bỏ, hoàn thành","Either party has the right to terminate the contract with a 30-day written notice.","Bất kỳ bên nào cũng có quyền chấm dứt hợp đồng với thông báo bằng văn bản trước 30 ngày.","business","800","end,cancel,conclude,finish"
"Comply","/kəmˈplaɪ/","verb","To act in accordance with a wish, command, rule, or instruction.","Tuân thủ, làm theo","All factories must comply with environmental protection standards.","Tất cả các nhà máy phải tuân thủ các tiêu chuẩn bảo vệ môi trường.","business","800","obey,adhere,conform,observe"
"Mandate","/ˈmændeɪt/","noun","An official order or commission to do something.","Lệnh, chỉ thị, ủy thác","The government issued a mandate requiring all employees to wear masks.","Chính phủ đã ban hành chỉ thị yêu cầu tất cả nhân viên phải đeo khẩu trang.","business","750","order,command,instruction,decree"
"Merge","/mɜːdʒ/","verb","Combine or cause to combine to form a single entity.","Sáp nhập, hợp nhất","The two local banks decided to merge to improve market competitiveness.","Hai ngân hàng địa phương đã quyết định sáp nhập để nâng cao khả năng cạnh tranh trên thị trường.","business","700","combine,unite,join,amalgamate"
"Affiliate","/əˈfɪlieɪt/","noun","A person or organization officially attached to a larger body.","Công ty liên kết, đại lý liên kết","Our company has a local affiliate in Tokyo to manage East Asian operations.","Công ty chúng tôi có một chi nhánh liên kết địa phương tại Tokyo để quản lý các hoạt động ở Đông Á.","business","750","partner,branch,associate,member"
"Transaction","/trænˈzækʃn/","noun","An instance of buying or selling something; a business deal.","Giao dịch, công việc kinh doanh","The online transaction was completed within a few seconds.","Giao dịch trực tuyến đã hoàn tất trong vòng vài giây.","business","600","deal,business,trade,sale"
"Clause","/klɔːz/","noun","A particular and separate article, stipulation, or proviso in a treaty, bill, or contract.","Điều khoản (trong hợp đồng)","The termination clause specifies the penalties for breaking the contract early.","Điều khoản chấm dứt quy định các hình phạt đối với việc phá vỡ hợp đồng sớm.","business","700","section,paragraph,article,condition"
"Draft","/drɑːft/","verb","Prepare the preliminary version of a document.","Phác thảo, soạn thảo","The legal team will draft a new sales agreement by Friday.","Đội ngũ pháp lý sẽ soạn thảo một hợp đồng bán hàng mới trước thứ Sáu.","business","600","compose,outline,sketch,prepare"
