word,pronunciation,partOfSpeech,definition,definitionNative,example,exampleTranslation,topic,difficulty,synonyms
"Partner","ˈpɑːtnə(r)","noun","A person or organization that takes part in an undertaking with another.","Đối tác, cộng sự","Our business partner in Japan helped us launch the new office.","Đối tác kinh doanh của chúng tôi tại Nhật Bản đã giúp chúng tôi thành lập văn phòng mới.","business","500","associate,colleague,ally"
"Contract","ˈkɒntrækt","noun","A written or spoken agreement, especially one concerning employment, sales, or tenancy.","Hợp đồng, khế ước","Please read the terms of the contract before signing it.","Vui lòng đọc các điều khoản của hợp đồng trước khi ký.","business","500","agreement,deal,treaty"
"Agreement","əˈɡriːmənt","noun","A negotiated and typically legally binding arrangement between parties.","Sự đồng ý, thỏa thuận","Both companies signed a mutual agreement to share research data.","Cả hai công ty đã ký một thỏa thuận chung để chia sẻ dữ liệu nghiên cứu.","business","600","accord,settlement,contract"
"Executive","ɪɡˈzekjətɪv","noun","A person with senior managerial responsibility in a business organization.","Người điều hành, giám đốc","The executive decided to hire more staff to meet the production goals.","Người điều hành đã quyết định thuê thêm nhân viên để đáp ứng các mục tiêu sản xuất.","business","600","director,manager,administrator"
"Negotiate","nɪˈɡəʊʃɪeɪt","verb","Obtain or bring about by discussion.","Đàm phán, thương lượng","We hope to negotiate a better deal with our main supplier.","Chúng tôi hy vọng sẽ thương lượng được một thỏa thuận tốt hơn với nhà cung cấp chính.","business","700","bargain,compromise,discuss"
"Transaction","trænˈzækʃn","noun","An instance of buying or selling something; a business deal.","Giao dịch","The financial transaction was processed smoothly by the bank.","Giao dịch tài chính đã được ngân hàng xử lý một cách suôn sẻ.","business","700","deal,sale,trade"
"Merge","mɜːdʒ","verb","Combine or cause to combine to form a single entity.","Sáp nhập, hợp nhất","The two pharmaceutical companies planned to merge next year.","Hai công ty dược phẩm có kế hoạch sáp nhập vào năm tới.","business","800","combine,unite,join"
"Venture","ˈventʃə(r)","noun","A business enterprise, typically one that involves risk.","Dự án kinh doanh mạo hiểm, liên doanh","Their joint venture into solar energy proved to be highly profitable.","Liên doanh của họ vào năng lượng mặt trời đã chứng minh là rất có lãi.","business","800","enterprise,project,undertaking"
"Conglomerate","kənˈɡlɒmərət","noun","A large corporation run as a single multinational entity, composed of diverse companies.","Tập đoàn đa ngành, tập đoàn kinh tế","The media conglomerate acquired three digital publishing platforms.","Tập đoàn truyền thông đã mua lại ba nền tảng xuất bản kỹ thuật số.","business","900","corporation,multinational,enterprise"
"Litigation","ˌlɪtɪˈɡeɪʃn","noun","The process of taking legal action.","Sự tranh chấp, quá trình kiện tụng","The company settled the patent litigation out of court to save costs.","Công ty đã giải quyết tranh chấp bằng sáng chế ngoài tòa án để tiết kiệm chi phí.","business","900","lawsuit,legal action,prosecution"
"Agenda","əˈdʒendə","noun","A list of items to be discussed at a formal meeting.","Chương trình nghị sự, lịch trình cuộc họp","The first item on the agenda is the approval of last month's minutes.","Mục đầu tiên trong chương trình nghị sự là thông qua biên bản cuộc họp tháng trước.","meetings","500","schedule,program,plan"
"Present","prɪˈzent","verb","Show or offer something for others to scrutinize or consider.","Trình bày, thuyết trình","The team leader will present the new project design to the board.","Trưởng nhóm sẽ thuyết trình thiết kế dự án mới trước hội đồng quản trị.","meetings","500","display,introduce,show"
"Session","ˈseʃn","noun","A meeting of an official body, or a period spent doing a particular activity.","Phiên họp, buổi hội thảo","Please attend the training session on the new software this afternoon.","Vui lòng tham dự buổi đào tạo về phần mềm mới vào chiều nay.","meetings","600","period,meeting,class"
"Seminar","ˈsemɪnɑː(r)","noun","A conference or other meeting for discussion or training.","Hội thảo, chuyên đề","The marketing seminar was attended by over one hundred local business owners.","Hội thảo tiếp thị đã có sự tham dự của hơn một trăm chủ doanh nghiệp địa phương.","meetings","600","workshop,conference,lecture"
"Collaborate","kəˈlæbəreɪt","verb","Work jointly on an activity or project, especially to produce something.","Hợp tác, cộng tác","Our team will collaborate with the design department on this campaign.","Nhóm của chúng tôi sẽ hợp tác với bộ phận thiết kế trong chiến dịch này.","meetings","700","cooperate,team up,combine"
"Postpone","pəʊˈspəʊn","verb","Cause or arrange for something to take place at a time later than first scheduled.","Trì hoãn, hoãn lại","We had to postpone the meeting because the main director was sick.","Chúng tôi phải hoãn cuộc họp vì giám đốc chính bị ốm.","meetings","700","delay,defer,put off"
"Adjourn","əˈdʒɜːn","verb","Break off a meeting with the intention of resuming it later.","Hoãn, kết thúc tạm thời cuộc họp","Let's adjourn this session until tomorrow morning at nine.","Hãy hoãn phiên họp này cho đến chín giờ sáng mai.","meetings","800","suspend,pause,postpone"
"Consensus","kənˈsensəs","noun","A general agreement among a group of people.","Sự đồng thuận, nhất trí","After hours of debate, we finally reached a consensus on the new budget.","Sau nhiều giờ tranh luận, chúng tôi cuối cùng đã đạt được sự đồng thuận về ngân sách mới.","meetings","800","agreement,harmony,unanimity"
"Convene","kənˈviːn","verb","Come or bring together for a meeting or activity; assemble.","Triệu tập, nhóm họp","The committee will convene next week to finalize the company policies.","Ủy ban sẽ triệu tập vào tuần tới để hoàn thiện các chính sách của công ty.","meetings","900","summon,assemble,gather"
"Unanimity","ˌjuːnəˈnɪməti","noun","Agreement by all people involved; consensus.","Sự nhất trí hoàn toàn","The board passed the resolution with absolute unanimity.","Hội đồng quản trị đã thông qua nghị quyết với sự nhất trí hoàn toàn.","meetings","900","accord,consensus,agreement"
"Document","ˈdɒkjumənt","noun","A piece of written, printed, or electronic matter that provides information or evidence.","Tài liệu, hồ sơ","Please send the signed document back to the human resources department.","Vui lòng gửi lại tài liệu đã ký cho bộ phận nhân sự.","office","500","file,paper,record"
"Submit","səbˈmɪt","verb","Present a proposal, application, or other document for consideration or judgment.","Nộp, đệ trình","All employees must submit their expense reports by the end of the week.","Tất cả nhân viên phải nộp báo cáo chi phí của họ trước cuối tuần.","office","500","present,hand in,tender"
"Employee","ɪmˈplɔɪiː","noun","A person employed for wages or salary, especially at non-executive level.","Nhân viên, người lao động","Every new employee is required to complete the orientation program.","Mỗi nhân viên mới đều phải hoàn thành chương trình định hướng.","office","600","worker,staff member,hire"
"Coordinate","kəʊˈɔːdɪneɪt","verb","Bring the different elements of a complex activity or organization into a relationship that will ensure efficiency.","Phối hợp, điều phối","We need to coordinate our efforts to finish the project on time.","Chúng ta cần phối hợp các nỗ lực để hoàn thành dự án đúng hạn.","office","600","organize,harmonize,integrate"
"Delegate","ˈdelɪɡət","verb","Entrust a task or responsibility to another person, typically one who is less senior.","Ủy thác, phân công công việc","An effective manager knows when to delegate tasks to assistants.","Một nhà quản lý hiệu quả biết khi nào nên phân công nhiệm vụ cho trợ lý.","office","700","assign,entrust,transfer"
"Supervise","ˈsuːpəvaɪz","verb","Observe and direct the execution of a task, project, or activity.","Giám sát, quản lý","A senior engineer was appointed to supervise the construction work.","Một kỹ sư cao cấp đã được bổ nhiệm để giám sát công việc xây dựng.","office","700","oversee,manage,monitor"
"Personnel","ˌpɜːsəˈnel","noun","People employed in an organization or engaged in an organized undertaking.","Nhân sự, toàn bộ nhân viên","Only authorized personnel are allowed inside the server room.","Chỉ nhân sự có thẩm quyền mới được phép vào trong phòng máy chủ.","office","800","staff,workforce,employees"
"Workflow","ˈwɜːkfləʊ","noun","The sequence of industrial, administrative, or other processes through which a piece of work passes from initiation to completion.","Quy trình công việc","The new management system significantly improved our daily office workflow.","Hệ thống quản lý mới đã cải thiện đáng kể quy trình công việc văn phòng hàng ngày của chúng tôi.","office","800","process,procedure,routine"
"Hierarchy","ˈhaɪərɑːki","noun","A system in which members of an organization or society are ranked according to relative status or authority.","Hệ thống cấp bậc, thứ bậc","The firm has a strict corporate hierarchy, with several levels of management.","Công ty có một hệ thống cấp bậc nghiêm ngặt, với nhiều cấp quản lý.","office","900","pecking order,ranking,gradation"
"Bureaucracy","bjʊəˈrɒkrəsi","noun","A system of government or administration in which most of the important decisions are made by state officials rather than by elected representatives, characterized by complex rules.","Thủ tục hành chính phức tạp, quan liêu","We had to deal with a lot of administrative bureaucracy to get the business permit.","Chúng tôi phải giải quyết rất nhiều thủ tục hành chính phức tạp để có được giấy phép kinh doanh.","office","900","red tape,administration,officialdom"
"Budget","ˈbʌdʒɪt","noun","An estimate of income and expenditure for a set period of time.","Ngân sách","The marketing team operates on a very tight annual budget.","Đội ngũ tiếp thị hoạt động với ngân sách hàng năm rất eo hẹp.","finance","500","financial plan,allocation,funds"
