id,question,choiceA,choiceB,choiceC,choiceD,correctAnswer,explanation,cefrLevel,skill,mode,type,topic,difficulty,context,transcript
"local-listening-001","What are the speakers planning to discuss?","A client complaint","A quarterly budget","A training course","A delivery route","B","They are arranging a discussion about the quarterly budget. | Hai người đang sắp xếp cuộc họp về ngân sách quý.","A2","listening","conversations","listening","meetings","600","","Woman: Are you ready to discuss the quarterly budget on June 4?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-002","Why does the man want to change the meeting time?","He has a client call","He will be out of town","The room is being repaired","The report is incomplete","A","The man says he has a client call that morning. | Người đàn ông có cuộc gọi với khách hàng vào buổi sáng.","B1","listening","conversations","listening","meetings","650","","Woman: Are you ready to discuss the quarterly budget on June 4?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-003","When will the speakers most likely meet?","At 9 A.M.","At noon","At 2 P.M.","At 5 P.M.","C","The man suggests two in the afternoon and the woman agrees. | Hai người đồng ý gặp lúc 2 giờ chiều.","A1","listening","conversations","listening","meetings","500","","Woman: Are you ready to discuss the quarterly budget on June 4?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-004","Where will the meeting take place?","Conference Room B","A client office","The cafeteria","A hotel lobby","A","The woman says Conference Room B is available. | Người phụ nữ cho biết Phòng họp B còn trống.","A2","listening","conversations","listening","meetings","600","","Woman: Are you ready to discuss the quarterly budget on June 4?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-005","What will the woman probably do next?","Call a supplier","Update the calendar invitation","Prepare lunch","Cancel the budget review","B","She says she will update the invitation immediately. | Cô ấy sẽ cập nhật lời mời trên lịch.","B1","listening","conversations","listening","meetings","650","","Woman: Are you ready to discuss the quarterly budget on June 4?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-006","Why is the man calling?","To place a new order","To ask about a late delivery","To change a product color","To apply for a job","B","He is calling because his order did not arrive as expected. | Anh ấy gọi vì đơn hàng đến trễ.","B2","listening","conversations","listening","shipping","700","","Man: Hello, I am calling about an order from Northstar. It was supposed to arrive in Boston yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 4.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-007","What caused the delay?","Bad weather","A payment issue","A wrong address","Low inventory","A","The carrier reported a weather delay. | Đơn vị vận chuyển báo chậm do thời tiết.","B1","listening","conversations","listening","shipping","650","","Man: Hello, I am calling about an order from Northstar. It was supposed to arrive in Boston yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 4.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-008","What does the woman say about the package?","It will arrive on June 4","It was returned","It is at the store","It has not been shipped","A","The new delivery date is June 4. | Ngày giao hàng mới là June 4.","B2","listening","conversations","listening","shipping","700","","Man: Hello, I am calling about an order from Northstar. It was supposed to arrive in Boston yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 4.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-009","What service did the man purchase?","Gift wrapping","Express delivery","Installation","Insurance","B","The man states that he paid for express delivery. | Người đàn ông đã trả phí giao hàng nhanh.","B1","listening","conversations","listening","shipping","650","","Man: Hello, I am calling about an order from Northstar. It was supposed to arrive in Boston yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 4.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-010","What will the woman do?","Send a replacement","Refund the delivery charge","Call the weather office","Cancel the order","B","She offers to refund the express-delivery charge. | Cô ấy sẽ hoàn lại phí giao hàng nhanh.","B2","listening","conversations","listening","shipping","700","","Man: Hello, I am calling about an order from Northstar. It was supposed to arrive in Boston yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 4.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
