question,choiceA,choiceB,choiceC,choiceD,correctAnswer,explanation,explanationVi,part,topic,difficulty
"The new manager has asked _____ employees to submit their reports by Friday.","he","him","his","himself","C","The possessive adjective ""his"" is required before the noun ""employees"" to show ownership.","Dịch nghĩa: Quản lý mới đã yêu cầu nhân viên của mình nộp báo cáo trước thứ Sáu. | Giải thích: Tính từ sở hữu ""his"" được yêu cầu đứng trước danh từ ""employees"" để chỉ sự sở hữu.","5","business","500"
"Please review the contract carefully _____ signing the final document.","before","between","among","during","A","The preposition ""before"" logically fits here to describe an action occurring prior to signing.","Dịch nghĩa: Vui lòng xem xét kỹ hợp đồng trước khi ký tài liệu cuối cùng. | Giải thích: Giới từ ""before"" phù hợp về mặt logic ở đây để mô tả một hành động xảy ra trước khi ký.","5","business","500"
"The management team _____ the new business strategy at yesterday's general meeting.","discusses","discussed","discussing","will discuss","B","The adverb ""yesterday"" indicates a past action, requiring the simple past tense ""discussed"".","Dịch nghĩa: Ban quản lý đã thảo luận về chiến lược kinh doanh mới tại cuộc họp toàn thể ngày hôm qua. | Giải thích: Trạng từ ""yesterday"" chỉ một hành động trong quá khứ, yêu cầu thì quá khứ đơn ""discussed"".","5","business","600"
"If the supplier _____ the contract terms, we will search for another partner.","violates","violated","will violate","violating","A","This is a first conditional sentence. The ""if"" clause uses the simple present tense (""violates"") for future possibility.","Dịch nghĩa: Nếu nhà cung cấp vi phạm các điều khoản hợp đồng, chúng tôi sẽ tìm kiếm đối tác khác. | Giải thích: Đây là câu điều kiện loại 1. Mệnh đề ""if"" sử dụng thì hiện tại đơn (""violates"") cho khả năng xảy ra trong tương lai.","5","business","600"
"Our legal consultants will help us negotiate the terms _____ we sign the final agreement.","so","so that","before","in order to","C","""before"" acts as a temporal conjunction connecting the main clause with the subordinate clause.","Dịch nghĩa: Các cố vấn pháp lý của chúng tôi sẽ giúp chúng tôi thương lượng các điều khoản trước khi chúng tôi ký thỏa thuận cuối cùng. | Giải thích: ""before"" đóng vai trò là một liên từ chỉ thời gian nối mệnh đề chính với mệnh đề phụ.","5","business","700"
"The transaction was completed _____ because all required files had been submitted.","quick","quickly","quickness","quicker","B","The adverb ""quickly"" is required to modify the passive verb phrase ""was completed"".","Dịch nghĩa: Giao dịch đã được hoàn thành nhanh chóng vì tất cả các hồ sơ yêu cầu đã được nộp. | Giải thích: Trạng từ ""quickly"" là cần thiết để bổ nghĩa cho cụm động từ bị động ""was completed"".","5","business","700"
"_____ the unexpected decline in sales, the executive board approved the new venture.","Although","Despite","Because","Unless","B","""Despite"" is a preposition and must be followed by a noun phrase (""the unexpected decline in sales"").","Dịch nghĩa: Bất chấp sự sụt giảm doanh số ngoài dự kiến, ban điều hành vẫn phê duyệt liên doanh mới. | Giải thích: ""Despite"" là một giới từ và phải được theo sau bởi một cụm danh từ (""the unexpected decline in sales"").","5","business","800"
"The legal team worked late so that the contract _____ ready for the morning meeting.","is","will be","would be","had been","C","The phrase ""so that"" introduces a purpose clause. Because the main clause is in the past tense (""worked""), we use ""would be"".","Dịch nghĩa: Nhóm pháp lý đã làm việc muộn để hợp đồng sẵn sàng cho cuộc họp buổi sáng. | Giải thích: Cụm từ ""so that"" giới thiệu một mệnh đề chỉ mục đích. Vì mệnh đề chính ở thì quá khứ (""worked""), chúng ta dùng ""would be"".","5","business","800"
"Had the two conglomerates negotiated more patiently, they _____ a mutually beneficial deal.","would reach","will reach","would have reached","reached","C","This is an inverted third conditional sentence. The condition ""Had they negotiated"" matches with ""would have reached"".","Dịch nghĩa: Nếu hai tập đoàn đàm phán kiên nhẫn hơn, họ đã đạt được một thỏa thuận đôi bên cùng có lợi. | Giải thích: Đây là câu điều kiện loại 3 đảo ngữ. Điều kiện ""Had they negotiated"" đi kèm với ""would have reached"".","5","business","900"
"The litigation process, _____ length was unexpected, cost the corporation millions of dollars.","which","whose","that","whom","B","The relative pronoun ""whose"" is used to denote possession relative to ""the litigation process"".","Dịch nghĩa: Quá trình kiện tụng, có thời gian kéo dài ngoài dự kiến, đã tiêu tốn của tập đoàn hàng triệu đô la. | Giải thích: Đại từ quan hệ ""whose"" được sử dụng để chỉ sự sở hữu liên quan đến danh từ ""the litigation process"".","5","business","900"
"Please print the agenda for the meeting _____ distribute it to all attendees.","but","and","or","so","B","The coordinating conjunction ""and"" connects two parallel instructions in the imperative mood.","Dịch nghĩa: Vui lòng in chương trình nghị sự cho cuộc họp và phân phát cho tất cả những người tham dự. | Giải thích: Liên từ kết hợp ""and"" kết nối hai chỉ dẫn song song ở câu mệnh lệnh.","5","meetings","500"
"Ms. Davis will present her research results _____ the conference tomorrow afternoon.","on","at","with","for","B","The preposition ""at"" is used to refer to a specific event or location, such as ""at the conference"".","Dịch nghĩa: Cô Davis sẽ trình bày kết quả nghiên cứu của mình tại hội nghị vào chiều mai. | Giải thích: Giới từ ""at"" được sử dụng để chỉ một sự kiện hoặc địa điểm cụ thể, chẳng hạn như ""at the conference"".","5","meetings","500"
"All members of the committee _____ to attend the special training session next Monday.","require","are required","requiring","have required","B","The passive construction ""are required"" is needed here because the subject receives the action of being required.","Dịch nghĩa: Tất cả các thành viên của ủy ban được yêu cầu tham dự buổi đào tạo đặc biệt vào thứ Hai tới. | Giải thích: Cấu trúc bị động ""are required"" là cần thiết ở đây vì chủ ngữ nhận hành động bị yêu cầu.","5","meetings","600"
